Rk,G,,Date,,Opp,W/L,Tm,Opp,FG,TRB,AST,STL,BLK,TOV,,,,,FG,TRB,AST,STL,BLK,TOV
1,1,Pre-Bubble,10/23/19,,SAC,W,124,95,49,44,31,13,9,14,,,AVG,Pre-Bubble,40.76923077,43.07692308,27.16923077,7.8,4.015384615,14.52307692
2,2,Pre-Bubble,10/25/19,@,DEN,L,107,108,34,54,25,5,1,17,,,AVG,In-Bubble,44.5,47.125,27.625,6.5,3.625,11.625
3,3,Pre-Bubble,10/26/19,,LAC,W,130,122,43,49,32,9,3,16,,,,,,,,,,
4,4,Pre-Bubble,10/28/19,,UTA,L,95,96,33,40,23,7,3,16,,,,,,,,,,
5,5,Pre-Bubble,10/30/19,@,GSW,W,121,110,44,45,33,12,4,16,,,,,,,,,,
6,6,Pre-Bubble,11/2/19,@,MEM,W,114,105,44,32,26,9,2,17,,,,,,,,,,
7,7,Pre-Bubble,11/4/19,,PHI,W,114,109,41,40,24,6,5,19,,,,,,,,,,
8,8,Pre-Bubble,11/7/19,,MIA,L,108,124,37,40,22,4,3,14,,,,,,,,,,
9,9,Pre-Bubble,11/10/19,,BRK,W,138,112,52,42,37,8,7,7,,,,,,,,,,
10,10,Pre-Bubble,11/12/19,,LAL,L,115,123,43,39,32,3,4,11,,,,,,,,,,
11,11,Pre-Bubble,11/14/19,,ATL,W,128,112,41,39,32,6,2,20,,,,,,,,,,
12,12,Pre-Bubble,11/18/19,,BOS,L,85,99,33,45,22,7,6,19,,,,,,,,,,
13,13,Pre-Bubble,11/19/19,@,SAC,L,116,120,38,39,24,11,4,10,,,,,,,,,,
14,14,Pre-Bubble,11/21/19,,NOP,L,121,124,40,38,28,10,3,14,,,,,,,,,,
15,15,Pre-Bubble,11/23/19,@,MIN,W,100,98,33,56,22,9,3,7,,,,,,,,,,
16,16,Pre-Bubble,11/24/19,@,DEN,L,104,116,41,36,25,4,2,12,,,,,,,,,,
17,17,Pre-Bubble,11/27/19,,WAS,L,132,140,48,40,29,7,6,15,,,,,,,,,,
18,18,Pre-Bubble,11/29/19,,DAL,L,113,120,41,47,29,3,3,10,,,,,,,,,,
19,19,Pre-Bubble,12/2/19,@,CHO,W,109,104,39,37,30,12,7,7,,,,,,,,,,
20,20,Pre-Bubble,12/4/19,@,ORL,L,114,128,43,29,36,10,0,13,,,,,,,,,,
21,21,Pre-Bubble,12/5/19,@,NOP,W,139,132,50,51,30,16,6,18,,,,,,,,,,
22,22,Pre-Bubble,12/7/19,@,HOU,L,109,115,40,51,29,4,3,15,,,,,,,,,,
23,23,Pre-Bubble,12/9/19,,MIN,W,125,109,47,42,31,5,5,9,,,,,,,,,,
24,24,Pre-Bubble,12/11/19,,MEM,L,108,115,37,44,29,6,4,12,,,,,,,,,,
25,25,Pre-Bubble,12/14/19,,SAS,L,119,121,45,59,29,5,5,10,,,,,,,,,,
26,26,Pre-Bubble,12/16/19,,POR,L,110,111,41,44,31,11,5,20,,,,,,,,,,
27,27,Pre-Bubble,12/17/19,@,LAC,L,99,120,41,50,30,11,3,19,,,,,,,,,,
28,28,Pre-Bubble,12/20/19,@,OKC,L,108,126,38,37,26,9,4,15,,,,,,,,,,
29,29,Pre-Bubble,12/21/19,,HOU,L,125,139,47,41,26,5,1,8,,,,,,,,,,
30,30,Pre-Bubble,12/23/19,,DEN,L,111,113,42,38,29,10,0,17,,,,,,,,,,
