Team,Bubble,FGM,AST,REB,STL,BLK,TOV
DAL,Pre-Bubble,46,31.5,43,6.5,3.5,10.5
PHI,Pre-Bubble,41,24,40,6,5,19
OKC,Pre-Bubble,37,23,38.5,7.5,5,17
MIA,Pre-Bubble,37,22,40,4,3,14
IND,Pre-Bubble,30,13,44,7,3,13
LAC,Pre-Bubble,39.33,30.33,49,9.33,3,17
WAS,Pre-Bubble,48,29,40,7,6,15
DAL,In-Bubble,45.5,28,47,5.5,4,8
PHI,In-Bubble,49,28,44,4,3,7
OKC,In-Bubble,42,29,53,11,7,19
MIA,In-Bubble,44,27,52,5,4,11
IND,In-Bubble,43,27,53,6,4,15
LAC,In-Bubble,45,25,44,5,0,8
WAS,In-Bubble,42,29,37,10,3,17
